optimizer,best_fid,final_fid,epochs,time_minutes,status
Adam,73.00327240762465,74.75736292384107,360,85.79216405948003,Early Stopped
RMSprop,74.19532712181234,75.05109488658633,350,84.34546521902084,Early Stopped
SGD_Momentum,77.04265992441367,77.95970683588337,600,148.54877575238547,Completed
Lookahead_Adam,70.77666306841866,71.3535203269783,600,147.5925154010455,Completed
